,GPA_HIGHSCHOOL,Prior_Hours,ReFirstMathCrs,ReFirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
403,3.65,0,MAC1105/C,B_range,13,2.861538462,Retained
404,3.57,0,MAC1147,C_range,10,2.54,Retained
405,2.98,0,MAC1147,C_range,13,2.438461538,Retained
406,3.91,6,MAC1105/C,B_range,15,2.72,Retained
407,4.22,45,MAC1147,B_range,16,3.75,Retained
408,4.51,6,MAC1105/C,A_range,12,3.575,Retained
409,3.5,28,MAC1147,B_range,13,3.207692308,Retained
410,4.22,12,MAC1147,B_range,12,3.183333333,Retained
411,3.92,23,MAC2311/UP,B_range,15,3.153333333,Retained
412,4.38,16,NoAttempt,NoAttempt,14,3.585714286,Retained
413,3.31,9,MAC1147,B_range,13,2.007692308,Retained
414,3,0,NoAttempt,NoAttempt,13,3.376923077,Dropped
415,4.66,45,NoAttempt,NoAttempt,14,3.592857143,Retained
416,4.62,30,NoAttempt,NoAttempt,15,4,Dropped
417,4.31,20,MAC1147,A_range,15,3.873333333,Retained
418,4,0,MAC1147,C_range,12,2.666666667,Retained
419,3.84,27,MAC1147,B_range,12,2.9,Retained
420,3.31,3,MAC1147,C_range,15,2.486666667,Retained
421,3.41,10,MAC2311/UP,Failed,11,2.009090909,Retained
422,3.49,0,MAC1105/C,Withdrawn,7,3.271428571,Retained
423,3.67,3,MAC1147,C_range,15,2.88,Retained
424,4.39,3,MAC1105/C,A_range,12,4,Retained
425,3.9,8,NoAttempt,NoAttempt,14,3.507142857,Dropped
426,4.11,12,MAC1147,A_range,16,3.7,Retained
427,3.12,3,NoAttempt,NoAttempt,12,2.825,Retained
428,3.48,0,NoAttempt,NoAttempt,12,3.175,Dropped
429,2.8,0,MAC1147,C_range,17,2.929411765,Retained
430,3.42,61,MAC2311/UP,Withdrawn,9,3.244444444,Retained
431,3.71,6,MAC1147,B_range,12,2.566666667,Retained
432,4.23,12,MAC1105/C,B_range,15,3.1,Retained
433,4.53,0,MAC1105/C,A_range,13,4,Retained
434,4,10,MAC1147,B_range,12,3.083333333,Retained
435,4.71,29,MAC2311/UP,C_range,12,2.95,Retained
